DATE,PCOFFOTMUSDM
6/1/07,118.6705
7/1/07,116.8009524
8/1/07,123.6272727
9/1/07,128.0352632
10/1/07,134.57
11/1/07,130.3321053
12/1/07,136.4723077
1/1/08,139.0535
2/1/08,158.2095
3/1/08,148.065
4/1/08,137.7352381
5/1/08,139.7371429
6/1/08,144.079
7/1/08,145.3527273
8/1/08,145.7657895
9/1/08,140.5572727
10/1/08,121.4072727
11/1/08,120.4370588
12/1/08,116.97125
1/1/09,128.0278947
2/1/09,128.5094118
3/1/09,127.7640909
4/1/09,134.5795238
5/1/09,147.6405263
6/1/09,144.4552381
7/1/09,137.5955
8/1/09,146.8657143
9/1/09,145.6685714
10/1/09,151.9495455
11/1/09,150.2278947
12/1/09,155.8614286
1/1/10,154.4052632
2/1/10,155.9210526
3/1/10,162.1521739
4/1/10,171.0736842
5/1/10,174.0277778
6/1/10,193.5240909
7/1/10,205.2471429
8/1/10,212.7995455
9/1/10,222.1
10/1/10,215.8371429
11/1/10,227.9595
12/1/10,237.328
1/1/11,262.9447368
2/1/11,288.0831579
3/1/11,294.4834783
4/1/11,302.7094737
5/1/11,293.057619
6/1/11,277.7777273
7/1/11,269.18
8/1/11,273.5421739
9/1/11,275.5845455
10/1/11,248.4928571
11/1/11,249.504
12/1/11,243.1446667
1/1/12,240.89
2/1/12,225.494
3/1/12,201.8509091
4/1/12,193.351
5/1/12,186.3459091
6/1/12,169.7895238
7/1/12,190.7728571
8/1/12,175.9669565
9/1/12,179.6031579
10/1/12,172.3740909
11/1/12,160.6425
12/1/12,154.22375
1/1/13,158.2728571
2/1/13,152.9984211
3/1/13,153.0115789
4/1/13,152.9595455
5/1/13,151.4254545
6/1/13,138.855
7/1/13,138.4395238
8/1/13,135.63
9/1/13,132.78
10/1/13,128.8282609
11/1/13,122.7484211
12/1/13,126.7371429
1/1/14,135.0333333
2/1/14,176.2763158
3/1/14,216.0595238
4/1/14,226.9852381
5/1/14,215.2380952
6/1/14,198.9109524
7/1/14,198.5909091
8/1/14,214.5
9/1/14,212.0052381
10/1/14,227.0595652
11/1/14,212.9261111
12/1/14,200.59
1/1/15,190.8983333
2/1/15,179.94
3/1/15,160.0222727
4/1/15,164.9519048
5/1/15,158.1733333
6/1/15,159.7695455
7/1/15,153.2922727
8/1/15,158.7761905
9/1/15,147.6542857
10/1/15,153.8831818
11/1/15,148.9368421
12/1/15,149.518125
1/1/16,146.3215789
2/1/16,148.94
3/1/16,156.9372727
4/1/16,154.2019048
5/1/16,155.4042857
6/1/16,165.8490909
7/1/16,172.3525
8/1/16,170.3421739
9/1/16,178.0709524
10/1/16,178.6242857
11/1/16,185.1275
12/1/16,162.1622222
1/1/17,167.8275
2/1/17,165.5584211
3/1/17,159.3886364
4/1/17,155.9005263
5/1/17,151.1786364
6/1/17,144.0990909
